"","Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","UCD - ICD Sub-Chapter","UCD - ICD Sub-Chapter Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Deaths","Population","Crude Rate"
"28",NA,"California","06","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19","85+ years","85+",37,"Not Applicable","Not Applicable"
"29",NA,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"30",NA,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"31",NA,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"32",NA,"California","06","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19","85+ years","85+",35,"Not Applicable","Not Applicable"
"33",NA,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"34",NA,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"35",NA,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"36",NA,"California","06","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19","85+ years","85+",47,"Not Applicable","Not Applicable"
"37",NA,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"38",NA,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"39",NA,"California","06","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"40",NA,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","55-64 years","55-64",20,"Not Applicable","Not Applicable"
"41",NA,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"42",NA,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"43",NA,"California","06","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19","85+ years","85+",35,"Not Applicable","Not Applicable"
"44",NA,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"45",NA,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"46",NA,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"47",NA,"California","06","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19","85+ years","85+",35,"Not Applicable","Not Applicable"
"48",NA,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"49",NA,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"50",NA,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"51",NA,"California","06","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"52",NA,"California","06","2018 Week 12 ending March 24, 2018","2018/12","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"53",NA,"California","06","2018 Week 12 ending March 24, 2018","2018/12","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"54",NA,"California","06","2018 Week 12 ending March 24, 2018","2018/12","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"55",NA,"California","06","2018 Week 12 ending March 24, 2018","2018/12","Renal failure","N17-N19","85+ years","85+",38,"Not Applicable","Not Applicable"
"56",NA,"California","06","2018 Week 13 ending March 31, 2018","2018/13","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"57",NA,"California","06","2018 Week 13 ending March 31, 2018","2018/13","Renal failure","N17-N19","75-84 years","75-84",18,"Not Applicable","Not Applicable"
"58",NA,"California","06","2018 Week 13 ending March 31, 2018","2018/13","Renal failure","N17-N19","85+ years","85+",26,"Not Applicable","Not Applicable"
"59",NA,"California","06","2018 Week 14 ending April 07, 2018","2018/14","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"60",NA,"California","06","2018 Week 14 ending April 07, 2018","2018/14","Renal failure","N17-N19","75-84 years","75-84",21,"Not Applicable","Not Applicable"
"61",NA,"California","06","2018 Week 14 ending April 07, 2018","2018/14","Renal failure","N17-N19","85+ years","85+",33,"Not Applicable","Not Applicable"
"62",NA,"California","06","2018 Week 15 ending April 14, 2018","2018/15","Renal failure","N17-N19","65-74 years","65-74",21,"Not Applicable","Not Applicable"
"63",NA,"California","06","2018 Week 15 ending April 14, 2018","2018/15","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"64",NA,"California","06","2018 Week 15 ending April 14, 2018","2018/15","Renal failure","N17-N19","85+ years","85+",26,"Not Applicable","Not Applicable"
"65",NA,"California","06","2018 Week 16 ending April 21, 2018","2018/16","Renal failure","N17-N19","65-74 years","65-74",20,"Not Applicable","Not Applicable"
"66",NA,"California","06","2018 Week 16 ending April 21, 2018","2018/16","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"67",NA,"California","06","2018 Week 17 ending April 28, 2018","2018/17","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"68",NA,"California","06","2018 Week 17 ending April 28, 2018","2018/17","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"69",NA,"California","06","2018 Week 17 ending April 28, 2018","2018/17","Renal failure","N17-N19","85+ years","85+",34,"Not Applicable","Not Applicable"
"70",NA,"California","06","2018 Week 18 ending May 05, 2018","2018/18","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"71",NA,"California","06","2018 Week 18 ending May 05, 2018","2018/18","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"72",NA,"California","06","2018 Week 18 ending May 05, 2018","2018/18","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"73",NA,"California","06","2018 Week 18 ending May 05, 2018","2018/18","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"74",NA,"California","06","2018 Week 19 ending May 12, 2018","2018/19","Renal failure","N17-N19","65-74 years","65-74",16,"Not Applicable","Not Applicable"
"75",NA,"California","06","2018 Week 19 ending May 12, 2018","2018/19","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"76",NA,"California","06","2018 Week 19 ending May 12, 2018","2018/19","Renal failure","N17-N19","85+ years","85+",26,"Not Applicable","Not Applicable"
"77",NA,"California","06","2018 Week 20 ending May 19, 2018","2018/20","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"78",NA,"California","06","2018 Week 20 ending May 19, 2018","2018/20","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"79",NA,"California","06","2018 Week 20 ending May 19, 2018","2018/20","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"80",NA,"California","06","2018 Week 21 ending May 26, 2018","2018/21","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"81",NA,"California","06","2018 Week 21 ending May 26, 2018","2018/21","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"82",NA,"California","06","2018 Week 21 ending May 26, 2018","2018/21","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"83",NA,"California","06","2018 Week 22 ending June 02, 2018","2018/22","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"84",NA,"California","06","2018 Week 22 ending June 02, 2018","2018/22","Renal failure","N17-N19","85+ years","85+",26,"Not Applicable","Not Applicable"
"85",NA,"California","06","2018 Week 23 ending June 09, 2018","2018/23","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"86",NA,"California","06","2018 Week 23 ending June 09, 2018","2018/23","Renal failure","N17-N19","75-84 years","75-84",21,"Not Applicable","Not Applicable"
"87",NA,"California","06","2018 Week 23 ending June 09, 2018","2018/23","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"88",NA,"California","06","2018 Week 24 ending June 16, 2018","2018/24","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"89",NA,"California","06","2018 Week 24 ending June 16, 2018","2018/24","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"90",NA,"California","06","2018 Week 24 ending June 16, 2018","2018/24","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"91",NA,"California","06","2018 Week 25 ending June 23, 2018","2018/25","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"92",NA,"California","06","2018 Week 25 ending June 23, 2018","2018/25","Renal failure","N17-N19","75-84 years","75-84",30,"Not Applicable","Not Applicable"
"93",NA,"California","06","2018 Week 25 ending June 23, 2018","2018/25","Renal failure","N17-N19","85+ years","85+",23,"Not Applicable","Not Applicable"
"94",NA,"California","06","2018 Week 26 ending June 30, 2018","2018/26","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"95",NA,"California","06","2018 Week 26 ending June 30, 2018","2018/26","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"96",NA,"California","06","2018 Week 26 ending June 30, 2018","2018/26","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"97",NA,"California","06","2018 Week 27 ending July 07, 2018","2018/27","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"98",NA,"California","06","2018 Week 27 ending July 07, 2018","2018/27","Renal failure","N17-N19","75-84 years","75-84",24,"Not Applicable","Not Applicable"
"99",NA,"California","06","2018 Week 27 ending July 07, 2018","2018/27","Renal failure","N17-N19","85+ years","85+",31,"Not Applicable","Not Applicable"
"100",NA,"California","06","2018 Week 28 ending July 14, 2018","2018/28","Renal failure","N17-N19","65-74 years","65-74",19,"Not Applicable","Not Applicable"
"101",NA,"California","06","2018 Week 28 ending July 14, 2018","2018/28","Renal failure","N17-N19","75-84 years","75-84",23,"Not Applicable","Not Applicable"
"102",NA,"California","06","2018 Week 28 ending July 14, 2018","2018/28","Renal failure","N17-N19","85+ years","85+",13,"Not Applicable","Not Applicable"
"103",NA,"California","06","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","55-64 years","55-64",14,"Not Applicable","Not Applicable"
"104",NA,"California","06","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","65-74 years","65-74",23,"Not Applicable","Not Applicable"
"105",NA,"California","06","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","75-84 years","75-84",12,"Not Applicable","Not Applicable"
"106",NA,"California","06","2018 Week 29 ending July 21, 2018","2018/29","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"107",NA,"California","06","2018 Week 30 ending July 28, 2018","2018/30","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"108",NA,"California","06","2018 Week 30 ending July 28, 2018","2018/30","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"109",NA,"California","06","2018 Week 30 ending July 28, 2018","2018/30","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"110",NA,"California","06","2018 Week 31 ending August 04, 2018","2018/31","Renal failure","N17-N19","65-74 years","65-74",11,"Not Applicable","Not Applicable"
"111",NA,"California","06","2018 Week 31 ending August 04, 2018","2018/31","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"112",NA,"California","06","2018 Week 31 ending August 04, 2018","2018/31","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"113",NA,"California","06","2018 Week 32 ending August 11, 2018","2018/32","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"114",NA,"California","06","2018 Week 32 ending August 11, 2018","2018/32","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"115",NA,"California","06","2018 Week 32 ending August 11, 2018","2018/32","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"116",NA,"California","06","2018 Week 33 ending August 18, 2018","2018/33","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"117",NA,"California","06","2018 Week 33 ending August 18, 2018","2018/33","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"118",NA,"California","06","2018 Week 33 ending August 18, 2018","2018/33","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"119",NA,"California","06","2018 Week 34 ending August 25, 2018","2018/34","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"120",NA,"California","06","2018 Week 34 ending August 25, 2018","2018/34","Renal failure","N17-N19","65-74 years","65-74",24,"Not Applicable","Not Applicable"
"121",NA,"California","06","2018 Week 34 ending August 25, 2018","2018/34","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"122",NA,"California","06","2018 Week 34 ending August 25, 2018","2018/34","Renal failure","N17-N19","85+ years","85+",19,"Not Applicable","Not Applicable"
"123",NA,"California","06","2018 Week 35 ending September 01, 2018","2018/35","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
"124",NA,"California","06","2018 Week 35 ending September 01, 2018","2018/35","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"125",NA,"California","06","2018 Week 35 ending September 01, 2018","2018/35","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"126",NA,"California","06","2018 Week 36 ending September 08, 2018","2018/36","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"127",NA,"California","06","2018 Week 36 ending September 08, 2018","2018/36","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"128",NA,"California","06","2018 Week 36 ending September 08, 2018","2018/36","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"129",NA,"California","06","2018 Week 36 ending September 08, 2018","2018/36","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"130",NA,"California","06","2018 Week 37 ending September 15, 2018","2018/37","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"131",NA,"California","06","2018 Week 37 ending September 15, 2018","2018/37","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"132",NA,"California","06","2018 Week 37 ending September 15, 2018","2018/37","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"133",NA,"California","06","2018 Week 37 ending September 15, 2018","2018/37","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"134",NA,"California","06","2018 Week 38 ending September 22, 2018","2018/38","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"135",NA,"California","06","2018 Week 38 ending September 22, 2018","2018/38","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"136",NA,"California","06","2018 Week 38 ending September 22, 2018","2018/38","Renal failure","N17-N19","85+ years","85+",18,"Not Applicable","Not Applicable"
"137",NA,"California","06","2018 Week 39 ending September 29, 2018","2018/39","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"138",NA,"California","06","2018 Week 39 ending September 29, 2018","2018/39","Renal failure","N17-N19","75-84 years","75-84",13,"Not Applicable","Not Applicable"
"139",NA,"California","06","2018 Week 39 ending September 29, 2018","2018/39","Renal failure","N17-N19","85+ years","85+",30,"Not Applicable","Not Applicable"
"140",NA,"California","06","2018 Week 40 ending October 06, 2018","2018/40","Renal failure","N17-N19","55-64 years","55-64",13,"Not Applicable","Not Applicable"
"141",NA,"California","06","2018 Week 40 ending October 06, 2018","2018/40","Renal failure","N17-N19","65-74 years","65-74",15,"Not Applicable","Not Applicable"
"142",NA,"California","06","2018 Week 40 ending October 06, 2018","2018/40","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"143",NA,"California","06","2018 Week 40 ending October 06, 2018","2018/40","Renal failure","N17-N19","85+ years","85+",19,"Not Applicable","Not Applicable"
"144",NA,"California","06","2018 Week 41 ending October 13, 2018","2018/41","Renal failure","N17-N19","65-74 years","65-74",10,"Not Applicable","Not Applicable"
"145",NA,"California","06","2018 Week 41 ending October 13, 2018","2018/41","Renal failure","N17-N19","75-84 years","75-84",14,"Not Applicable","Not Applicable"
"146",NA,"California","06","2018 Week 41 ending October 13, 2018","2018/41","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"147",NA,"California","06","2018 Week 42 ending October 20, 2018","2018/42","Renal failure","N17-N19","55-64 years","55-64",10,"Not Applicable","Not Applicable"
"148",NA,"California","06","2018 Week 42 ending October 20, 2018","2018/42","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"149",NA,"California","06","2018 Week 42 ending October 20, 2018","2018/42","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"150",NA,"California","06","2018 Week 42 ending October 20, 2018","2018/42","Renal failure","N17-N19","85+ years","85+",31,"Not Applicable","Not Applicable"
"151",NA,"California","06","2018 Week 43 ending October 27, 2018","2018/43","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"152",NA,"California","06","2018 Week 43 ending October 27, 2018","2018/43","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"153",NA,"California","06","2018 Week 43 ending October 27, 2018","2018/43","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"154",NA,"California","06","2018 Week 43 ending October 27, 2018","2018/43","Renal failure","N17-N19","85+ years","85+",33,"Not Applicable","Not Applicable"
"155",NA,"California","06","2018 Week 44 ending November 03, 2018","2018/44","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"156",NA,"California","06","2018 Week 44 ending November 03, 2018","2018/44","Renal failure","N17-N19","75-84 years","75-84",10,"Not Applicable","Not Applicable"
"157",NA,"California","06","2018 Week 44 ending November 03, 2018","2018/44","Renal failure","N17-N19","85+ years","85+",20,"Not Applicable","Not Applicable"
"158",NA,"California","06","2018 Week 45 ending November 10, 2018","2018/45","Renal failure","N17-N19","65-74 years","65-74",13,"Not Applicable","Not Applicable"
"159",NA,"California","06","2018 Week 45 ending November 10, 2018","2018/45","Renal failure","N17-N19","75-84 years","75-84",17,"Not Applicable","Not Applicable"
"160",NA,"California","06","2018 Week 45 ending November 10, 2018","2018/45","Renal failure","N17-N19","85+ years","85+",19,"Not Applicable","Not Applicable"
"161",NA,"California","06","2018 Week 46 ending November 17, 2018","2018/46","Renal failure","N17-N19","65-74 years","65-74",12,"Not Applicable","Not Applicable"
"162",NA,"California","06","2018 Week 46 ending November 17, 2018","2018/46","Renal failure","N17-N19","75-84 years","75-84",16,"Not Applicable","Not Applicable"
"163",NA,"California","06","2018 Week 46 ending November 17, 2018","2018/46","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"164",NA,"California","06","2018 Week 47 ending November 24, 2018","2018/47","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"165",NA,"California","06","2018 Week 47 ending November 24, 2018","2018/47","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"166",NA,"California","06","2018 Week 47 ending November 24, 2018","2018/47","Renal failure","N17-N19","75-84 years","75-84",15,"Not Applicable","Not Applicable"
"167",NA,"California","06","2018 Week 47 ending November 24, 2018","2018/47","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"168",NA,"California","06","2018 Week 48 ending December 01, 2018","2018/48","Renal failure","N17-N19","65-74 years","65-74",11,"Not Applicable","Not Applicable"
"169",NA,"California","06","2018 Week 48 ending December 01, 2018","2018/48","Renal failure","N17-N19","75-84 years","75-84",20,"Not Applicable","Not Applicable"
"170",NA,"California","06","2018 Week 48 ending December 01, 2018","2018/48","Renal failure","N17-N19","85+ years","85+",31,"Not Applicable","Not Applicable"
"171",NA,"California","06","2018 Week 49 ending December 08, 2018","2018/49","Renal failure","N17-N19","55-64 years","55-64",13,"Not Applicable","Not Applicable"
"172",NA,"California","06","2018 Week 49 ending December 08, 2018","2018/49","Renal failure","N17-N19","65-74 years","65-74",24,"Not Applicable","Not Applicable"
"173",NA,"California","06","2018 Week 49 ending December 08, 2018","2018/49","Renal failure","N17-N19","75-84 years","75-84",29,"Not Applicable","Not Applicable"
"174",NA,"California","06","2018 Week 49 ending December 08, 2018","2018/49","Renal failure","N17-N19","85+ years","85+",27,"Not Applicable","Not Applicable"
"175",NA,"California","06","2018 Week 50 ending December 15, 2018","2018/50","Renal failure","N17-N19","65-74 years","65-74",17,"Not Applicable","Not Applicable"
"176",NA,"California","06","2018 Week 50 ending December 15, 2018","2018/50","Renal failure","N17-N19","75-84 years","75-84",19,"Not Applicable","Not Applicable"
"177",NA,"California","06","2018 Week 50 ending December 15, 2018","2018/50","Renal failure","N17-N19","85+ years","85+",21,"Not Applicable","Not Applicable"
"178",NA,"California","06","2018 Week 51 ending December 22, 2018","2018/51","Renal failure","N17-N19","55-64 years","55-64",11,"Not Applicable","Not Applicable"
"179",NA,"California","06","2018 Week 51 ending December 22, 2018","2018/51","Renal failure","N17-N19","75-84 years","75-84",21,"Not Applicable","Not Applicable"
"180",NA,"California","06","2018 Week 51 ending December 22, 2018","2018/51","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"181",NA,"California","06","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","55-64 years","55-64",12,"Not Applicable","Not Applicable"
"182",NA,"California","06","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","65-74 years","65-74",14,"Not Applicable","Not Applicable"
"183",NA,"California","06","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","75-84 years","75-84",22,"Not Applicable","Not Applicable"
"184",NA,"California","06","2018 Week 52 ending December 29, 2018","2018/52","Renal failure","N17-N19","85+ years","85+",22,"Not Applicable","Not Applicable"
"185",NA,"Connecticut","09","2018 Week 17 ending April 28, 2018","2018/17","Renal failure","N17-N19","85+ years","85+",12,"Not Applicable","Not Applicable"
"186",NA,"Connecticut","09","2018 Week 51 ending December 22, 2018","2018/51","Renal failure","N17-N19","75-84 years","75-84",10,"Not Applicable","Not Applicable"
"187",NA,"Florida","12","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19","65-74 years","65-74",18,"Not Applicable","Not Applicable"
